file_name,openssl_101f,gmssl,sim_value
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.9993154394197337
e_rc4_hmac_md5.c_e_rc4_hmac_md5.c,rc4_hmac_md5_ctrl,rc4_hmac_md5_ctrl,0.9989532479015262
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_encrypt,0.998932104598915
v3_conf.c_v3_conf.c,v3_generic_extension,v3_generic_extension,0.9984753268736206
b_dump.c_b_dump.c,BIO_dump_indent_cb,BIO_dump_indent_cb,0.9977824301721081
v3_alt.c_v3_alt.c,i2v_GENERAL_NAME,i2v_GENERAL_NAME,0.9974991916689856
evp_enc.c_evp_enc.c,EVP_DecryptFinal_ex,EVP_DecryptFinal_ex,0.9974737802565401
e_rc4_hmac_md5.c_e_rc4_hmac_md5.c,rc4_hmac_md5_cipher,rc4_hmac_md5_cipher,0.9974181853415449
x_long.c_x_long.c,long_i2c,long_i2c,0.9971117533386925
c_ofb64.c_c_ofb64.c,CAST_ofb64_encrypt,CAST_ofb64_encrypt,0.9959237111268435
cms_lib.c_cms_lib.c,CMS_dataFinal,CMS_dataFinal,0.9958861799930254
rc4test.c_rc4test.c,main,main,0.9957143244847038
pk7_lib.c_pk7_lib.c,PKCS7_set_type,PKCS7_set_type,0.9953651805914221
pk7_doit.c_pk7_doit.c,PKCS7_dataVerify,PKCS7_dataVerify,0.9952681579765129
bf_ofb64.c_bf_ofb64.c,BF_ofb64_encrypt,BF_ofb64_encrypt,0.9951124772752732
asn_mime.c_asn_mime.c,SMIME_write_ASN1,SMIME_write_ASN1,0.994220372254045
v3_alt.c_v3_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9942165268957415
a_mbstr.c_a_mbstr.c,ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.9941953977630859
wp_dgst.c_wp_dgst.c,WHIRLPOOL_Final,WHIRLPOOL_Final,0.9941028490513776
eng_dyn.c_eng_dyn.c,dynamic_ctrl,dynamic_ctrl,0.9939919229397846
bss_file.c_bss_file.c,file_ctrl,file_ctrl,0.9939496150729499
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.9939192515370134
ec_asn1.c_ec_asn1.c,ec_asn1_group2curve,ec_asn1_group2curve,0.9938415984324009
bn_kron.c_bn_kron.c,BN_kronecker,BN_kronecker,0.9938268220530154
x509_vfy.c_x509_vfy.c,crl_akid_check,crl_akid_check,0.9934156553810116
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_decrypt,0.9934113042368378
bio_ok.c_bio_ok.c,ok_read,ok_read,0.9932436078536442
rc2_skey.c_rc2_skey.c,RC2_set_key,RC2_set_key,0.9930334948464141
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.9928535990034
x509_vfy.c_x509_vfy.c,X509_cmp_time,X509_cmp_time,0.9926591556006112
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.9926407005031372
d2i_pr.c_d2i_pr.c,d2i_PrivateKey,d2i_PrivateKey,0.9920531868715283
bio_ok.c_bio_ok.c,ok_write,ok_write,0.9919732838069666
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_add,0.9914333065695604
bn_rand.c_bn_rand.c,bnrand,bnrand,0.9909282090146555
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9908773890439588
ec2_mult.c_ec2_mult.c,ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.990800975575735
destest.c_destest.c,main,main,0.9906553949670194
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.9905037343287489
