file_name,libressl_3,gmssl,sim_value
cms_kari.c_cms_kari.c,CMS_RecipientInfo_kari_decrypt,CMS_RecipientInfo_kari_decrypt,0.9997656867216289
ec_kmeth.c_ec_kmeth.c,EC_KEY_METHOD_get_init,EC_KEY_METHOD_get_init,0.9993041166391339
x509_conf.c_v3_conf.c,v3_generic_extension,v3_generic_extension,0.9985741611371686
pk7_lib.c_pk7_lib.c,PKCS7_set_type,PKCS7_set_type,0.9979039695909957
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.9959014506669561
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.9958047379825603
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9957256606562923
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.9955163895415193
asn_mime.c_asn_mime.c,SMIME_write_ASN1,SMIME_write_ASN1,0.9954766940328343
cms_lib.c_cms_lib.c,CMS_dataFinal,CMS_dataFinal,0.9951528808973901
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.9941683599761191
pk7_doit.c_pk7_doit.c,PKCS7_dataVerify,PKCS7_dataVerify,0.9941159394528702
bio_ndef.c_bio_ndef.c,ndef_suffix,ndef_suffix,0.99401888900966
cms_kari.c_cms_kari.c,CMS_RecipientInfo_kari_get0_orig_id,CMS_RecipientInfo_kari_get0_orig_id,0.9937493818585635
x_long.c_x_long.c,long_i2c,long_i2c,0.9935871186403407
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.9931530931215723
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.992919157445209
p12_add.c_p12_add.c,PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.9913980666617799
bn_gcd.c_bn_gcd.c,BN_mod_inverse_internal,int_bn_mod_inverse,0.9899940348102543
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_encrypt,0.9899579172470565
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.9892467364910917
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_create_tst_info,ts_RESP_create_tst_info,0.9888734010557998
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.9883960038054447
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.9883832018938947
pvkfmt.c_pvkfmt.c,i2b_PVK,i2b_PVK,0.9880351502787725
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9879838322915389
a_bitstr.c_a_bitstr.c,c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.9874983357541296
